locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLGBHGLA_04840	CDS	585	wtpC_2	3.6.3.-	COG3839	Molybdate/tungstate import ATP-binding protein WtpC
FLGBHGLA_04840	gene	585	wtpC_2			
FLGBHGLA_04850	CDS	666				hypothetical protein
FLGBHGLA_04850	gene	666				
FLGBHGLA_04860	CDS	864				hypothetical protein
FLGBHGLA_04860	gene	864				
FLGBHGLA_04870	CDS	1452				hypothetical protein
FLGBHGLA_04870	gene	1452				
FLGBHGLA_04880	CDS	756				hypothetical protein
FLGBHGLA_04880	gene	756				
FLGBHGLA_04890	CDS	1461				hypothetical protein
FLGBHGLA_04890	gene	1461				
FLGBHGLA_04900	CDS	1227	hmgA	1.1.1.34	COG1257	3-hydroxy-3-methylglutaryl-coenzyme A reductase
FLGBHGLA_04900	gene	1227	hmgA			
FLGBHGLA_04910	CDS	822				hypothetical protein
FLGBHGLA_04910	gene	822				
FLGBHGLA_04920	CDS	1533	tgtA_1	2.4.2.48	COG0343	tRNA-guanine(15) transglycosylase
FLGBHGLA_04920	gene	1533	tgtA_1			
FLGBHGLA_04930	CDS	1179				hypothetical protein
FLGBHGLA_04930	gene	1179				
FLGBHGLA_04940	CDS	2856				hypothetical protein
FLGBHGLA_04940	gene	2856				
FLGBHGLA_04950	CDS	588				hypothetical protein
FLGBHGLA_04950	gene	588				
FLGBHGLA_04960	CDS	1188				hypothetical protein
FLGBHGLA_04960	gene	1188				
FLGBHGLA_04970	CDS	720		1.3.1.76	COG1648	Precorrin-2 dehydrogenase
FLGBHGLA_04970	gene	720				
FLGBHGLA_04980	CDS	90				hypothetical protein
FLGBHGLA_04980	gene	90				
FLGBHGLA_04990	CDS	537	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
FLGBHGLA_04990	gene	537	kptA			
FLGBHGLA_05000	CDS	489				hypothetical protein
FLGBHGLA_05000	gene	489				
FLGBHGLA_05010	CDS	474				hypothetical protein
FLGBHGLA_05010	gene	474				
FLGBHGLA_05020	CDS	1473		2.1.1.-	COG1964	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase
FLGBHGLA_05020	gene	1473				
FLGBHGLA_05030	CDS	1104				hypothetical protein
FLGBHGLA_05030	gene	1104				
FLGBHGLA_05040	CDS	555				hypothetical protein
FLGBHGLA_05040	gene	555				
FLGBHGLA_05050	CDS	1014	thiL_3	2.7.4.16		Thiamine-monophosphate kinase
FLGBHGLA_05050	gene	1014	thiL_3			
FLGBHGLA_05060	CDS	588				hypothetical protein
FLGBHGLA_05060	gene	588				
FLGBHGLA_05070	CDS	1581				hypothetical protein
FLGBHGLA_05070	gene	1581				
FLGBHGLA_05080	CDS	288				hypothetical protein
FLGBHGLA_05080	gene	288				
FLGBHGLA_05090	CDS	441	ptr1		COG1522	HTH-type transcriptional regulator Ptr1
FLGBHGLA_05090	gene	441	ptr1			
FLGBHGLA_05100	CDS	678	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
FLGBHGLA_05100	gene	678	pyrE			
FLGBHGLA_05110	CDS	984				hypothetical protein
FLGBHGLA_05110	gene	984				
FLGBHGLA_05120	CDS	786			COG0517	putative protein
FLGBHGLA_05120	gene	786				
FLGBHGLA_05130	CDS	567				hypothetical protein
FLGBHGLA_05130	gene	567				
FLGBHGLA_05140	CDS	444				hypothetical protein
FLGBHGLA_05140	gene	444				
FLGBHGLA_05150	CDS	579				hypothetical protein
FLGBHGLA_05150	gene	579				
FLGBHGLA_05160	CDS	213				hypothetical protein
FLGBHGLA_05160	gene	213				
FLGBHGLA_05170	CDS	213				hypothetical protein
FLGBHGLA_05170	gene	213				
FLGBHGLA_05180	CDS	432				hypothetical protein
FLGBHGLA_05180	gene	432				
FLGBHGLA_05190	CDS	543				hypothetical protein
FLGBHGLA_05190	gene	543				
FLGBHGLA_05200	CDS	249				hypothetical protein
FLGBHGLA_05200	gene	249				
FLGBHGLA_05210	CDS	915	ttuA_1	2.8.1.-	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
FLGBHGLA_05210	gene	915	ttuA_1			
FLGBHGLA_05220	CDS	522				hypothetical protein
FLGBHGLA_05220	gene	522				
FLGBHGLA_05230	CDS	195				hypothetical protein
FLGBHGLA_05230	gene	195				
FLGBHGLA_05240	CDS	276	ef1b		COG2092	Elongation factor 1-beta
FLGBHGLA_05240	gene	276	ef1b			
FLGBHGLA_05250	CDS	624				hypothetical protein
FLGBHGLA_05250	gene	624				
FLGBHGLA_05260	CDS	852				hypothetical protein
FLGBHGLA_05260	gene	852				
FLGBHGLA_05270	CDS	1326	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
FLGBHGLA_05270	gene	1326	hemA			
FLGBHGLA_05280	CDS	99				hypothetical protein
FLGBHGLA_05280	gene	99				
FLGBHGLA_05290	CDS	1830				hypothetical protein
FLGBHGLA_05290	gene	1830				
FLGBHGLA_05300	CDS	855				hypothetical protein
FLGBHGLA_05300	gene	855				
FLGBHGLA_05310	CDS	1047				hypothetical protein
FLGBHGLA_05310	gene	1047				
FLGBHGLA_05320	CDS	3780	rgy_2		COG1110	Reverse gyrase
FLGBHGLA_05320	gene	3780	rgy_2			
FLGBHGLA_05330	CDS	2820		3.6.4.12		ATP-dependent DNA helicase Hel308
FLGBHGLA_05330	gene	2820				
FLGBHGLA_05340	CDS	219				hypothetical protein
FLGBHGLA_05340	gene	219				
FLGBHGLA_05350	CDS	1056		5.3.1.23	COG0182	Putative methylthioribose-1-phosphate isomerase
FLGBHGLA_05350	gene	1056				
FLGBHGLA_05360	CDS	456				hypothetical protein
FLGBHGLA_05360	gene	456				
FLGBHGLA_05370	CDS	1158		3.-.-.-	COG0624	putative metallohydrolase
FLGBHGLA_05370	gene	1158				
FLGBHGLA_05380	CDS	243				hypothetical protein
FLGBHGLA_05380	gene	243				
FLGBHGLA_05390	CDS	498				hypothetical protein
FLGBHGLA_05390	gene	498				
FLGBHGLA_05400	CDS	480				hypothetical protein
FLGBHGLA_05400	gene	480				
FLGBHGLA_05410	CDS	789				hypothetical protein
FLGBHGLA_05410	gene	789				
FLGBHGLA_05420	CDS	1002				hypothetical protein
FLGBHGLA_05420	gene	1002				
FLGBHGLA_05430	CDS	399				hypothetical protein
FLGBHGLA_05430	gene	399				
FLGBHGLA_05440	CDS	1431	dmsC		COG5557	Putative dimethyl sulfoxide reductase membrane subunit C
FLGBHGLA_05440	gene	1431	dmsC			
FLGBHGLA_05450	CDS	1125	dmsB_1		COG0437	Putative dimethyl sulfoxide reductase iron-sulfur subunit B
FLGBHGLA_05450	gene	1125	dmsB_1			
FLGBHGLA_05460	CDS	621				hypothetical protein
FLGBHGLA_05460	gene	621				
FLGBHGLA_05470	CDS	1143	aroC	4.2.3.5		Chorismate synthase
FLGBHGLA_05470	gene	1143	aroC			
FLGBHGLA_05480	CDS	1062	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
FLGBHGLA_05480	gene	1062	rtcA			
FLGBHGLA_05490	CDS	864				hypothetical protein
FLGBHGLA_05490	gene	864				
FLGBHGLA_05500	CDS	180				hypothetical protein
FLGBHGLA_05500	gene	180				
FLGBHGLA_05510	CDS	1410		3.4.21.-	COG1404	Tk-subtilisin
FLGBHGLA_05510	gene	1410				
FLGBHGLA_05520	CDS	2073				hypothetical protein
FLGBHGLA_05520	gene	2073				
FLGBHGLA_05530	CDS	768	nadK	2.7.1.23	COG0061	NAD kinase
FLGBHGLA_05530	gene	768	nadK			
FLGBHGLA_05540	CDS	348	cbiX	4.99.1.3	COG2138	Sirohydrochlorin cobaltochelatase
FLGBHGLA_05540	gene	348	cbiX			
FLGBHGLA_05550	CDS	393				hypothetical protein
FLGBHGLA_05550	gene	393				
FLGBHGLA_05560	CDS	1695				hypothetical protein
FLGBHGLA_05560	gene	1695				
FLGBHGLA_05570	CDS	804	aroK	2.7.1.71	COG1685	Shikimate kinase
FLGBHGLA_05570	gene	804	aroK			
FLGBHGLA_05580	CDS	1431				hypothetical protein
FLGBHGLA_05580	gene	1431				
FLGBHGLA_05590	CDS	1623	fpoD	1.12.98.3	COG0649	F(420)H(2) dehydrogenase subunit D
FLGBHGLA_05590	gene	1623	fpoD			
FLGBHGLA_05600	CDS	615	fpoB	1.12.98.3	COG0377	F(420)H(2) dehydrogenase subunit B
FLGBHGLA_05600	gene	615	fpoB			
FLGBHGLA_05610	CDS	369	ndhC	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
FLGBHGLA_05610	gene	369	ndhC			
FLGBHGLA_05620	CDS	1491	fpoM	1.12.98.3	COG1008	F(420)H(2) dehydrogenase subunit M
FLGBHGLA_05620	gene	1491	fpoM			
FLGBHGLA_05630	CDS	2079	fpoL	1.12.98.3	COG1009	F(420)H(2) dehydrogenase subunit L
FLGBHGLA_05630	gene	2079	fpoL			
FLGBHGLA_05640	CDS	540	ribK	2.7.1.161	COG1339	Riboflavin kinase
FLGBHGLA_05640	gene	540	ribK			
FLGBHGLA_05650	CDS	192				hypothetical protein
FLGBHGLA_05650	gene	192				
FLGBHGLA_05660	CDS	171				hypothetical protein
FLGBHGLA_05660	gene	171				
FLGBHGLA_05670	CDS	315				hypothetical protein
FLGBHGLA_05670	gene	315				
FLGBHGLA_05680	CDS	588	malK_4	3.6.3.19		Trehalose/maltose import ATP-binding protein MalK
FLGBHGLA_05680	gene	588	malK_4			
FLGBHGLA_05690	CDS	1239		4.1.1.61		Phenolic acid decarboxylase subunit C
FLGBHGLA_05690	gene	1239				
FLGBHGLA_05700	CDS	561				hypothetical protein
FLGBHGLA_05700	gene	561				
FLGBHGLA_05710	CDS	519	ard1_1	2.3.1.255	COG0456	N-alpha-acetyltransferase
FLGBHGLA_05710	gene	519	ard1_1			
FLGBHGLA_05720	CDS	1203				hypothetical protein
FLGBHGLA_05720	gene	1203				
FLGBHGLA_05730	CDS	1095				hypothetical protein
FLGBHGLA_05730	gene	1095				
FLGBHGLA_05740	CDS	654				hypothetical protein
FLGBHGLA_05740	gene	654				
FLGBHGLA_05750	CDS	966				hypothetical protein
FLGBHGLA_05750	gene	966				
FLGBHGLA_05760	CDS	258				hypothetical protein
FLGBHGLA_05760	gene	258				
FLGBHGLA_05770	CDS	765			COG1058	Protein
FLGBHGLA_05770	gene	765				
FLGBHGLA_05780	CDS	798	thi4	4.-.-.-	COG1635	Thiamine thiazole synthase
FLGBHGLA_05780	gene	798	thi4			
FLGBHGLA_05790	CDS	1125				hypothetical protein
FLGBHGLA_05790	gene	1125				
FLGBHGLA_05800	CDS	387	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
FLGBHGLA_05800	gene	387	hisI			
FLGBHGLA_05810	CDS	147				hypothetical protein
FLGBHGLA_05810	gene	147				
FLGBHGLA_05820	CDS	1092	queE_5	4.3.99.3		7-carboxy-7-deazaguanine synthase
FLGBHGLA_05820	gene	1092	queE_5			
FLGBHGLA_05830	CDS	444			COG0589	Universal stress protein
FLGBHGLA_05830	gene	444				
FLGBHGLA_05840	CDS	132				hypothetical protein
FLGBHGLA_05840	gene	132				
FLGBHGLA_05850	CDS	873				Iron-sulfur cluster carrier protein
FLGBHGLA_05850	gene	873				
FLGBHGLA_05860	CDS	711		2.7.4.26	COG1608	Isopentenyl phosphate kinase
FLGBHGLA_05860	gene	711				
FLGBHGLA_05870	CDS	1314				hypothetical protein
FLGBHGLA_05870	gene	1314				
FLGBHGLA_05880	CDS	1743	thrS_2	6.1.1.3	COG0441	Threonine--tRNA ligase
FLGBHGLA_05880	gene	1743	thrS_2			
FLGBHGLA_05890	CDS	189				hypothetical protein
FLGBHGLA_05890	gene	189				
FLGBHGLA_05900	CDS	1293				hypothetical protein
FLGBHGLA_05900	gene	1293				
FLGBHGLA_05910	CDS	1833	purF_1	2.4.2.14		Amidophosphoribosyltransferase
FLGBHGLA_05910	gene	1833	purF_1			
FLGBHGLA_05920	CDS	1470	ubiD	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
FLGBHGLA_05920	gene	1470	ubiD			
FLGBHGLA_05930	CDS	255				hypothetical protein
FLGBHGLA_05930	gene	255				
FLGBHGLA_05940	CDS	1347			COG0531	putative protein
FLGBHGLA_05940	gene	1347				
FLGBHGLA_05950	CDS	258				hypothetical protein
FLGBHGLA_05950	gene	258				
FLGBHGLA_05960	CDS	288	rpoL	2.7.7.6	COG1761	DNA-directed RNA polymerase subunit L
FLGBHGLA_05960	gene	288	rpoL			
FLGBHGLA_05970	CDS	606				hypothetical protein
FLGBHGLA_05970	gene	606				
FLGBHGLA_05980	CDS	579	csl4		COG1096	Exosome complex component Csl4
FLGBHGLA_05980	gene	579	csl4			
FLGBHGLA_05990	CDS	444	ard1_2	2.3.1.255	COG0456	N-alpha-acetyltransferase
FLGBHGLA_05990	gene	444	ard1_2			
FLGBHGLA_06000	CDS	438				hypothetical protein
FLGBHGLA_06000	gene	438				
FLGBHGLA_06010	CDS	942	cysO	4.2.1.22	COG0031	Protein CysO
FLGBHGLA_06010	gene	942	cysO			
FLGBHGLA_06020	CDS	441				hypothetical protein
FLGBHGLA_06020	gene	441				
FLGBHGLA_06030	CDS	1158	obg	3.6.5.-		GTPase Obg
FLGBHGLA_06030	gene	1158	obg			
FLGBHGLA_06040	CDS	1086				hypothetical protein
FLGBHGLA_06040	gene	1086				
FLGBHGLA_06050	CDS	615				hypothetical protein
FLGBHGLA_06050	gene	615				
FLGBHGLA_06060	CDS	459	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
FLGBHGLA_06060	gene	459	dut			
FLGBHGLA_06070	CDS	813	uppS	2.5.1.89	COG0020	Tritrans,polycis-undecaprenyl-diphosphate synthase (GGDP specific)
FLGBHGLA_06070	gene	813	uppS			
FLGBHGLA_06080	CDS	1203	pan		COG1222	Proteasome-activating nucleotidase
FLGBHGLA_06080	gene	1203	pan			
FLGBHGLA_06090	CDS	420			COG0185	30S ribosomal protein S19
FLGBHGLA_06090	gene	420				
FLGBHGLA_06100	CDS	480			COG0091	50S ribosomal protein L22
FLGBHGLA_06100	gene	480				
FLGBHGLA_06110	CDS	726	rps3		COG0092	30S ribosomal protein S3
FLGBHGLA_06110	gene	726	rps3			
FLGBHGLA_06120	CDS	219			COG0255	50S ribosomal protein L29
FLGBHGLA_06120	gene	219				
FLGBHGLA_06130	CDS	279	rnp1	3.1.26.5	COG1588	Ribonuclease P protein component 1
FLGBHGLA_06130	gene	279	rnp1			
FLGBHGLA_06140	CDS	408				hypothetical protein
FLGBHGLA_06140	gene	408				
FLGBHGLA_06150	CDS	561				hypothetical protein
FLGBHGLA_06150	gene	561				
FLGBHGLA_06160	CDS	1539				hypothetical protein
FLGBHGLA_06160	gene	1539				
FLGBHGLA_06170	CDS	1206	allB	3.5.2.5		Allantoinase
FLGBHGLA_06170	gene	1206	allB			
FLGBHGLA_06180	CDS	483				hypothetical protein
FLGBHGLA_06180	gene	483				
FLGBHGLA_06190	CDS	417			COG0517	putative protein
FLGBHGLA_06190	gene	417				
FLGBHGLA_06200	CDS	567				hypothetical protein
FLGBHGLA_06200	gene	567				
FLGBHGLA_06210	CDS	1275	purF_2	2.4.2.14		Amidophosphoribosyltransferase
FLGBHGLA_06210	gene	1275	purF_2			
FLGBHGLA_06220	CDS	1518	mvhB_1		COG1145	Polyferredoxin protein MvhB
FLGBHGLA_06220	gene	1518	mvhB_1			
FLGBHGLA_06230	CDS	726				hypothetical protein
FLGBHGLA_06230	gene	726				
FLGBHGLA_06240	CDS	375	nac		COG1308	Nascent polypeptide-associated complex protein
FLGBHGLA_06240	gene	375	nac			
FLGBHGLA_06250	CDS	1287	rnj_2	3.1.-.-		Ribonuclease J
FLGBHGLA_06250	gene	1287	rnj_2			
FLGBHGLA_06260	CDS	258				hypothetical protein
FLGBHGLA_06260	gene	258				
FLGBHGLA_06270	CDS	645			COG2078	Protein
FLGBHGLA_06270	gene	645				
FLGBHGLA_06280	CDS	633				hypothetical protein
FLGBHGLA_06280	gene	633				
FLGBHGLA_06290	CDS	990	ilvC_1	1.1.1.383	COG0059	Ketol-acid reductoisomerase (NAD(P)(+))
FLGBHGLA_06290	gene	990	ilvC_1			
FLGBHGLA_06300	CDS	108				hypothetical protein
FLGBHGLA_06300	gene	108				
FLGBHGLA_06310	CDS	1965				hypothetical protein
FLGBHGLA_06310	gene	1965				
FLGBHGLA_06320	CDS	747	pcn3		COG0592	DNA polymerase sliding clamp 3
FLGBHGLA_06320	gene	747	pcn3			
FLGBHGLA_06330	CDS	408	speH	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
FLGBHGLA_06330	gene	408	speH			
FLGBHGLA_06340	CDS	681				hypothetical protein
FLGBHGLA_06340	gene	681				
FLGBHGLA_06350	CDS	252				hypothetical protein
FLGBHGLA_06350	gene	252				
FLGBHGLA_06360	CDS	1092				hypothetical protein
FLGBHGLA_06360	gene	1092				
FLGBHGLA_06370	CDS	1020				hypothetical protein
FLGBHGLA_06370	gene	1020				
FLGBHGLA_06380	CDS	597	psmB_1	3.4.25.1	COG0638	Proteasome subunit beta
FLGBHGLA_06380	gene	597	psmB_1			
FLGBHGLA_06390	CDS	918	sudA_1	1.8.1.19	COG0493	Sulfide dehydrogenase subunit alpha
FLGBHGLA_06390	gene	918	sudA_1			
FLGBHGLA_06400	CDS	846				hypothetical protein
FLGBHGLA_06400	gene	846				
FLGBHGLA_06410	CDS	939		2.1.1.213	COG1041	tRNA (guanine(10)-N2)-dimethyltransferase
FLGBHGLA_06410	gene	939				
FLGBHGLA_06420	CDS	708			COG0655	Iron-sulfur flavoprotein
FLGBHGLA_06420	gene	708				
FLGBHGLA_06430	CDS	795	lysZ	2.7.2.-	COG0548	[LysW]-aminoadipate/[LysW]-glutamate kinase
FLGBHGLA_06430	gene	795	lysZ			
FLGBHGLA_06440	CDS	1257		1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
FLGBHGLA_06440	gene	1257				
FLGBHGLA_06450	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
FLGBHGLA_06450	gene	1086	wecB			
FLGBHGLA_06460	CDS	261				hypothetical protein
FLGBHGLA_06460	gene	261				
FLGBHGLA_06470	CDS	306				hypothetical protein
FLGBHGLA_06470	gene	306				
FLGBHGLA_06480	CDS	1008				hypothetical protein
FLGBHGLA_06480	gene	1008				
FLGBHGLA_06490	CDS	951				hypothetical protein
FLGBHGLA_06490	gene	951				
FLGBHGLA_06500	CDS	1209				hypothetical protein
FLGBHGLA_06500	gene	1209				
FLGBHGLA_06510	CDS	2229	adh	1.1.1.1	COG1064	NAD-dependent alcohol dehydrogenase
FLGBHGLA_06510	gene	2229	adh			
FLGBHGLA_06520	CDS	294				hypothetical protein
FLGBHGLA_06520	gene	294				
FLGBHGLA_06530	CDS	1170		2.1.1.-	COG1964	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase
FLGBHGLA_06530	gene	1170				
FLGBHGLA_06540	CDS	960	dys	2.5.1.46	COG1899	putative deoxyhypusine synthase
FLGBHGLA_06540	gene	960	dys			
FLGBHGLA_06550	CDS	561	folE	3.5.4.16		GTP cyclohydrolase 1
FLGBHGLA_06550	gene	561	folE			
FLGBHGLA_06560	CDS	927	speE_1	2.5.1.23	COG0421	Polyamine aminopropyltransferase
FLGBHGLA_06560	gene	927	speE_1			
FLGBHGLA_06570	CDS	924	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
FLGBHGLA_06570	gene	924	apaH			
FLGBHGLA_06580	CDS	1203	argG	6.3.4.5		Argininosuccinate synthase
FLGBHGLA_06580	gene	1203	argG			
FLGBHGLA_06590	CDS	774				hypothetical protein
FLGBHGLA_06590	gene	774				
FLGBHGLA_06600	CDS	1113	guaAB	6.3.5.2	COG0519	GMP synthase [glutamine-hydrolyzing] subunit B
FLGBHGLA_06600	gene	1113	guaAB			
FLGBHGLA_06610	CDS	843				hypothetical protein
FLGBHGLA_06610	gene	843				
FLGBHGLA_06620	CDS	1242				hypothetical protein
FLGBHGLA_06620	gene	1242				
FLGBHGLA_06630	CDS	999				hypothetical protein
FLGBHGLA_06630	gene	999				
FLGBHGLA_06640	CDS	921	nadA	2.5.1.72	COG0379	Quinolinate synthase A
FLGBHGLA_06640	gene	921	nadA			
FLGBHGLA_06650	CDS	564				hypothetical protein
FLGBHGLA_06650	gene	564				
FLGBHGLA_06660	CDS	972				hypothetical protein
FLGBHGLA_06660	gene	972				
FLGBHGLA_06670	CDS	408				hypothetical protein
FLGBHGLA_06670	gene	408				
FLGBHGLA_06680	CDS	1644	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
FLGBHGLA_06680	gene	1644	leuA_1			
FLGBHGLA_06690	CDS	918				hypothetical protein
FLGBHGLA_06690	gene	918				
FLGBHGLA_06700	CDS	1149				hypothetical protein
FLGBHGLA_06700	gene	1149				
FLGBHGLA_06710	CDS	858			COG0517	putative protein
FLGBHGLA_06710	gene	858				
FLGBHGLA_06720	CDS	729				hypothetical protein
FLGBHGLA_06720	gene	729				
FLGBHGLA_06730	CDS	291				hypothetical protein
FLGBHGLA_06730	gene	291				
FLGBHGLA_06740	CDS	3399	rpoB1	2.7.7.6		DNA-directed RNA polymerase subunit B'
FLGBHGLA_06740	gene	3399	rpoB1			
FLGBHGLA_06750	CDS	249	rpoH	2.7.7.6	COG2012	DNA-directed RNA polymerase subunit H
FLGBHGLA_06750	gene	249	rpoH			
FLGBHGLA_06760	CDS	984				hypothetical protein
FLGBHGLA_06760	gene	984				
FLGBHGLA_06770	CDS	606				hypothetical protein
FLGBHGLA_06770	gene	606				
FLGBHGLA_06780	CDS	396			COG0517	putative protein
FLGBHGLA_06780	gene	396				
FLGBHGLA_06790	CDS	102				hypothetical protein
FLGBHGLA_06790	gene	102				
FLGBHGLA_06800	CDS	723	dphB	2.1.1.98	COG1798	Diphthine synthase
FLGBHGLA_06800	gene	723	dphB			
FLGBHGLA_06810	CDS	177	nikR			Putative nickel-responsive regulator
FLGBHGLA_06810	gene	177	nikR			
FLGBHGLA_06820	CDS	738	ilvC_2	1.1.1.383	COG0059	Ketol-acid reductoisomerase (NAD(P)(+))
FLGBHGLA_06820	gene	738	ilvC_2			
FLGBHGLA_06830	CDS	168				hypothetical protein
FLGBHGLA_06830	gene	168				
FLGBHGLA_06840	CDS	501	nob1	3.1.-.-	COG1439	Endoribonuclease Nob1
FLGBHGLA_06840	gene	501	nob1			
FLGBHGLA_06850	CDS	555				hypothetical protein
FLGBHGLA_06850	gene	555				
FLGBHGLA_06860	CDS	426				hypothetical protein
FLGBHGLA_06860	gene	426				
FLGBHGLA_06870	CDS	1020	lysK	3.5.1.-	COG0624	[LysW]-lysine/[LysW]-ornithine hydrolase
FLGBHGLA_06870	gene	1020	lysK			
FLGBHGLA_06880	CDS	732				hypothetical protein
FLGBHGLA_06880	gene	732				
FLGBHGLA_06890	CDS	351				hypothetical protein
FLGBHGLA_06890	gene	351				
FLGBHGLA_06900	CDS	795				hypothetical protein
FLGBHGLA_06900	gene	795				
FLGBHGLA_06910	CDS	756				hypothetical protein
FLGBHGLA_06910	gene	756				
FLGBHGLA_06920	CDS	1647				hypothetical protein
FLGBHGLA_06920	gene	1647				
FLGBHGLA_06930	CDS	933				hypothetical protein
FLGBHGLA_06930	gene	933				
FLGBHGLA_06940	CDS	1335		1.8.1.14	COG0446	Coenzyme A disulfide reductase
FLGBHGLA_06940	gene	1335				
FLGBHGLA_06950	CDS	456				hypothetical protein
FLGBHGLA_06950	gene	456				
FLGBHGLA_06960	CDS	1158	sqr_1	1.8.5.4		Sulfide-quinone reductase
FLGBHGLA_06960	gene	1158	sqr_1			
FLGBHGLA_06970	CDS	2211	acyP	3.6.1.7	COG1254	Acylphosphatase
FLGBHGLA_06970	gene	2211	acyP			
FLGBHGLA_06980	CDS	948	rio1	2.7.11.1	COG1718	RIO-type serine/threonine-protein kinase Rio1
FLGBHGLA_06980	gene	948	rio1			
FLGBHGLA_06990	CDS	399	eIF1A		COG0361	Translation initiation factor 1A
FLGBHGLA_06990	gene	399	eIF1A			
FLGBHGLA_07000	CDS	678	rps6e		COG2125	30S ribosomal protein S6e
FLGBHGLA_07000	gene	678	rps6e			
FLGBHGLA_07010	CDS	1479		4.2.1.32	COG1838	Putative L(+)-tartrate dehydratase subunit beta
FLGBHGLA_07010	gene	1479				
FLGBHGLA_07020	CDS	1416	atpB		COG1156	V-type ATP synthase beta chain
FLGBHGLA_07020	gene	1416	atpB			
FLGBHGLA_07030	CDS	645	atpD		COG1394	V-type ATP synthase subunit D
FLGBHGLA_07030	gene	645	atpD			
FLGBHGLA_07040	CDS	165				hypothetical protein
FLGBHGLA_07040	gene	165				
FLGBHGLA_07050	CDS	342				hypothetical protein
FLGBHGLA_07050	gene	342				
FLGBHGLA_07060	CDS	1272	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
FLGBHGLA_07060	gene	1272	hemL			
FLGBHGLA_07070	CDS	915	hemC	2.5.1.61		Porphobilinogen deaminase
FLGBHGLA_07070	gene	915	hemC			
FLGBHGLA_07080	CDS	585				hypothetical protein
FLGBHGLA_07080	gene	585				
FLGBHGLA_07090	CDS	435		4.1.1.19	COG1586	Arginine decarboxylase proenzyme
FLGBHGLA_07090	gene	435				
FLGBHGLA_07100	CDS	633	mqnA	4.2.1.151		Chorismate dehydratase
FLGBHGLA_07100	gene	633	mqnA			
FLGBHGLA_07110	CDS	1107				hypothetical protein
FLGBHGLA_07110	gene	1107				
FLGBHGLA_07120	CDS	753				hypothetical protein
FLGBHGLA_07120	gene	753				
FLGBHGLA_07130	CDS	2745	dpo1	2.7.7.7	COG0417	DNA polymerase 1
FLGBHGLA_07130	gene	2745	dpo1			
FLGBHGLA_07140	CDS	1053	fen	3.1.-.-	COG0258	Flap endonuclease 1
FLGBHGLA_07140	gene	1053	fen			
FLGBHGLA_07150	CDS	288				hypothetical protein
FLGBHGLA_07150	gene	288				
FLGBHGLA_07160	CDS	2205	vat_1		COG0464	VCP-like ATPase
FLGBHGLA_07160	gene	2205	vat_1			
FLGBHGLA_07170	CDS	459				hypothetical protein
FLGBHGLA_07170	gene	459				
FLGBHGLA_07180	CDS	1146				hypothetical protein
FLGBHGLA_07180	gene	1146				
FLGBHGLA_07190	CDS	669	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
FLGBHGLA_07190	gene	669	tpiA			
FLGBHGLA_07200	CDS	696			COG1500	Ribosome maturation protein SDO1 
FLGBHGLA_07200	gene	696				
FLGBHGLA_07210	CDS	1059		2.1.1.-	COG1964	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase
FLGBHGLA_07210	gene	1059				
FLGBHGLA_07220	CDS	468				hypothetical protein
FLGBHGLA_07220	gene	468				
FLGBHGLA_07230	CDS	372				hypothetical protein
FLGBHGLA_07230	gene	372				
FLGBHGLA_07240	CDS	822				hypothetical protein
FLGBHGLA_07240	gene	822				
FLGBHGLA_07250	CDS	378	mntR			Transcriptional regulator MntR
FLGBHGLA_07250	gene	378	mntR			
FLGBHGLA_07260	CDS	309				hypothetical protein
FLGBHGLA_07260	gene	309				
FLGBHGLA_07270	CDS	657	gpt_2	2.4.2.22		Xanthine phosphoribosyltransferase
FLGBHGLA_07270	gene	657	gpt_2			
FLGBHGLA_07280	CDS	1068		1.3.1.101	COG0644	Digeranylgeranylglycerophospholipid reductase
FLGBHGLA_07280	gene	1068				
FLGBHGLA_07290	CDS	465			COG1522	putative HTH-type transcriptional regulator
FLGBHGLA_07290	gene	465				
